"Tutoring. Teoria, praktyka, studia przypadków ","BARTOSZ FINGAS
                        , 
                                                                                        MARCIN SZALA
                        , 
                                                                                        PIOTR CZEKIERDA","['Książki / biznes / praca', 'Książki / biznes / zarządzanie']",okładka miękka,Wolters Kluwer Polska,356,2018-10-01,"64,50 zł"
Ustawa o rachunkowości. Komentarz ,Ewa Walińska,"['Książki / biznes / rachunkowość', 'Książki / prawo / podatkowe']",okładka twarda,Wolters Kluwer Polska,1328,2018-10-03,"241,00 zł"
Prawo finansów samorządowych ,"Michał Bitner
                        , 
                                                                                        Elżbieta Kornberger-Sokołowska","['Książki / biznes / bankowość i finanse', 'Książki / prawo / podatkowe', 'Książki / prawo / finansowe']",okładka miękka,Wolters Kluwer Polska,240,2018-07-02,"55,00 zł"
Coaching inteligencji emocjonalnej ,"Lisa Spencer-Arnell
                        , 
                                                                                        Liz Wilson
                        , 
                                                                                        Stephen Neale","['Książki / biznes / praca', 'Książki / biznes / zarządzanie']",okładka miękka,Wolters Kluwer Polska,252,2018-04-30,"92,50 zł"
MERITUM HR ,"Albert Binda
                        , 
                                                                                        Hanna Szych
                        , 
                                                                                        Iwona Szakiewicz
                        , 
                                                                                        Monika Leśnikowska- Marciniak
                        , 
                                                                                        Zbigniew Edward Kozak
                        , 
                                                                                        Jarosław Marciniak","['Książki / biznes / praca', 'Książki / biznes / zarządzanie']",,Wolters Kluwer Polska,1036,2018-05-09,"214,00 zł"
Ryzyko niezdolności do pracy ,Katarzyna Roszewska,"['Książki / biznes / praca', 'Książki / prawo / pracy']",okładka twarda,Wolters Kluwer Polska,416,2018-06-08,"148,00 zł"
"Ustawa o biegłych rewidentach, firmach audytorskich oraz nadzorze publicznym. Komentarz ","Maciej Jakub Zieliński
                        , 
                                                                                        Małgorzata Ślebzak
                        , 
                                                                                        Krzysztof Ślebzak
                        , 
                                                                                        Dominik Wajda",['Książki / biznes / rachunkowość'],okładka twarda,Wolters Kluwer Polska,916,2018-04-25,"205,00 zł"
Coaching kariery. Doradztwo zawodowe w warunkach współczesnego rynku pracy ,Małgorzata Sidor-Rządkowska,"['Książki / biznes / praca', 'Książki / biznes / zarządzanie']",okładka twarda,Wolters Kluwer Polska,200,2018-03-14,"73,50 zł"
Farmakoekonomika w zarządzaniu zasobami ochrony zdrowia ,Elżbieta Nowakowska,"['Książki / biznes / bankowość i finanse', 'Książki / prawo / inne gałęzie prawa']",okładka miękka,Wolters Kluwer Polska,304,2018-04-17,"120,00 zł"
Dotacje oświatowe po zmianach ,"ELŻBIETA PIOTROWSKA-ALBIN
                        , 
                                                                                        LIDIA MARCINIAK
                        , 
                                                                                        Agata Piszko
                        , 
                                                                                        Aneta Majchrzak","['Książki / biznes / bankowość i finanse', 'Książki / prawo']",okładka miękka,Wolters Kluwer Polska,88,2018-01-30,"46,00 zł"
